sender,receiver,edge_weight
UCC35EnAeuy4lLGTjIQHuLTQ,UCOtHqJeZ2OG0FrJRUOwaieg,1
UCEngHxSN_kcZYoavVA4i7Ow,UCOtHqJeZ2OG0FrJRUOwaieg,1
UCk7p83NSuNlDbT3eArf67Yw,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UCOtHqJeZ2OG0FrJRUOwaieg,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UCFPb9eToj2c4JlktoX6Ki5A,UCEkx7zzpb9N6DAnz6v7Tz7A,2
UCEngHxSN_kcZYoavVA4i7Ow,UCEkx7zzpb9N6DAnz6v7Tz7A,19
UC1ffpT8ZDGqcGtd2WuaJlng,UCEkx7zzpb9N6DAnz6v7Tz7A,26
UCiDVLi3WXbI6-8tmSau5E4Q,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UC_Df-AuaoB5unovNHru9XEA,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UCEkx7zzpb9N6DAnz6v7Tz7A,UCFPb9eToj2c4JlktoX6Ki5A,1
UCpjal1K5phFvGvu2RGwWZOA,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UCEkx7zzpb9N6DAnz6v7Tz7A,UCdJljIiF-Eu59eV9DGhYqzQ,1
UC1ffpT8ZDGqcGtd2WuaJlng,UCeWCuXcxVdXGV0h9K7cZQrQ,1
UCEkx7zzpb9N6DAnz6v7Tz7A,UC1ffpT8ZDGqcGtd2WuaJlng,7
UCXIItHp8IHY0vOKcECZzANw,UCEkx7zzpb9N6DAnz6v7Tz7A,1
UC1ffpT8ZDGqcGtd2WuaJlng,UC7Hv3nnikR4mSxscwMITySQ,1
UCnRJyjOjnjESv8Bj8AK_W0A,UCAhkPe9jzNSht8qwxXhmcBQ,1
UCWBnbh5XCcS7ze8-7X-n3rg,UC6JJi02nyGHG3EBbV1QTM5g,1
UC3F50XRJN8_LOwKjUIuKucA,UCbaPmNfFNrKJr7bmOGMDy6g,1
UCG5sfyuKD9IaWOIpGcIbO0g,UCeWCuXcxVdXGV0h9K7cZQrQ,1
UCHJR7Mn1lcUNby4v0GuwH_A,UCEkx7zzpb9N6DAnz6v7Tz7A,1
