source,target,edge_weight
1008,1027,1
1027,1008,1
554,830,1
1071,361,1
1096,1092,1
205,289,1
1092,1096,1
1050,1059,1
1075,1059,1
1197,1184,1
284,1184,1
1166,1163,1
830,862,1
1164,1187,1
1194,361,1
1069,854,1
1178,1111,3
1111,1178,3
1176,864,1
1180,1152,1
830,1111,1
1111,830,1
554,1111,1
1111,554,1
1165,1232,1
279,904,1
1222,864,1
279,864,1
1241,179,1
841,179,1
118,179,1
1111,179,1
830,179,1
179,830,1
830,1224,1
179,1224,2
179,1175,1
1175,830,1
879,1175,2
554,879,1
74,1175,1
932,74,1
932,205,2
205,932,1
1202,879,1
1202,621,1
1226,963,1
1111,702,1
1111,618,3
680,1220,1
830,1211,1
1218,1239,1
680,1175,1
277,1163,1
1111,854,1
1111,1163,1
830,879,1
830,854,1
830,1163,1
830,277,1
1175,854,1
1272,1175,1
295,879,1
879,599,2
599,879,1
849,599,1
796,599,1
1124,599,1
599,1124,1
702,599,1
1253,1124,1
277,599,3
277,702,1
512,599,1
599,277,1
599,702,1
718,599,1
599,718,1
1124,1253,1
1111,361,2
295,621,2
1111,621,1
512,621,1
621,1111,1
796,963,1
820,904,1
796,820,1
263,621,1
258,171,1
830,171,1
1254,369,1
295,1260,1
295,599,2
463,1260,1
463,599,1
1250,1260,1
599,463,1
1209,463,1
287,1260,1
1252,1260,1
1252,599,2
599,1252,2
1271,1260,1
788,1252,1
463,1209,1
1277,1260,1
841,1252,1
1293,1252,1
841,1278,1
1278,841,1
277,1260,1
277,1209,2
1209,277,1
1111,1260,1
1111,1252,1
830,1260,1
1055,1260,1
1279,1278,1
1197,1260,1
1260,1197,1
1252,1111,1
1252,1175,1
1278,1279,1
1278,1175,1
1284,1252,1
495,879,1
1251,1226,1
1281,879,1
463,1286,1
879,1290,1
376,1290,1
1276,1290,1
1230,879,1
830,1286,1
1251,47,1
1327,47,1
47,1327,1
277,1327,1
1251,277,1
1064,618,1
9,618,2
1009,618,1
1002,963,1
1251,1002,1
967,618,1
9,1052,1
108,361,2
820,599,1
599,1255,1
1303,599,1
454,599,3
454,1037,1
599,454,2
1107,599,5
1107,454,1
118,599,2
830,599,2
599,118,2
599,1107,2
796,850,2
108,904,1
796,1107,3
1107,904,2
