source,target,edge_weight
1348,1163,1
1347,1163,1
1319,629,1
296,629,1
629,296,2
809,1387,1
414,599,5
599,476,6
648,1396,1
1368,1396,1
1368,1387,1
1052,1396,1
1368,1092,1
1319,1383,1
607,361,2
1376,1407,1
1388,34,1
849,1389,1
712,1407,2
1407,712,1
108,1387,4
1387,850,2
1401,850,1
108,282,1
1406,850,2
108,1406,2
463,1389,1
1382,1354,1
599,1403,1
108,1403,1
755,1383,1
171,1063,1
1417,1063,1
607,599,4
1420,1354,1
736,599,1
599,736,1
599,607,1
1413,95,1
1421,95,1
1364,294,1
712,95,1
809,789,1
772,789,1
1382,789,1
648,1418,1
446,1418,1
446,607,1
1418,446,1
446,171,1
