id,subscriber_count,view_count,video_count,comment_count,average_length_comments,sentiment,comment_length_category,total_likes
0,0,0,0,1,10,no sentiment,medium,1
1,514,143822,22,2,14,no sentiment,medium,0
2,83,6113,35,1,114,no sentiment,long,0
3,0,0,0,4,8,negative,short,10
4,0,0,0,1,5,no sentiment,short,0
5,0,0,0,1,1,no sentiment,short,0
6,6,359,6,1,14,no sentiment,medium,0
7,0,0,0,1,36,no sentiment,long,1
8,1,0,0,1,10,no sentiment,medium,0
9,1,0,0,16,13,negative,medium,42
10,0,0,0,1,22,no sentiment,medium,1
11,2,41,2,1,17,no sentiment,medium,1
12,0,0,0,1,26,no sentiment,medium,0
13,0,0,0,2,10,no sentiment,medium,1
14,0,0,0,1,8,no sentiment,short,0
15,2,0,0,1,35,no sentiment,long,0
16,0,0,0,26,14,neutral,medium,6
17,38,3602,664,1,18,no sentiment,medium,1
18,1,17,2,1,3,no sentiment,short,0
19,1,0,0,1,27,no sentiment,long,0
20,0,0,0,4,189,negative,long,1
21,14,0,0,4,22,no sentiment,medium,36
22,4,0,0,1,23,no sentiment,medium,0
23,1,0,0,1,43,no sentiment,long,0
24,9,17726,85,1,24,no sentiment,medium,0
25,233,8520,56,1,1,no sentiment,short,0
26,3,0,0,2,420,no sentiment,long,0
27,0,25,1,1,39,no sentiment,long,2
28,3,0,0,2,9,no sentiment,medium,19
29,2,0,0,3,35,no sentiment,long,2
30,0,0,0,1,39,no sentiment,long,0
31,26,9934,2,5,46,negative,long,0
32,0,0,0,1,6,no sentiment,short,0
33,0,0,0,1,1,no sentiment,short,1
34,11,0,0,3,11,negative,medium,31
35,70,107616,11,1,33,no sentiment,long,0
36,0,0,0,1,16,no sentiment,medium,1
37,1,0,0,2,5,no sentiment,short,5
38,26,13210,15,2,20,no sentiment,medium,0
39,0,0,0,1,1,no sentiment,short,1
40,1,0,0,1,30,no sentiment,long,0
41,31,119086,81,1,17,no sentiment,medium,1
42,6,293,5,3,6,negative,short,0
43,17,0,0,4,16,no sentiment,medium,48
44,0,0,0,1,19,no sentiment,medium,0
45,23,0,0,1,8,no sentiment,short,0
46,0,0,0,1,68,no sentiment,long,0
47,1,0,0,5,60,negative,long,18
48,382,122383,55,76,18,negative,medium,8
49,2,0,0,3,4,no sentiment,short,3
50,32,44305,22,1,46,no sentiment,long,0
51,2250,95719,68,3,3,positive,short,1
52,2,0,0,160,20,negative,medium,14
53,5,3966,17,1,283,no sentiment,long,1
54,2,0,0,2,8,no sentiment,short,1
55,0,19,3,1,25,no sentiment,medium,1
56,0,0,0,1,23,no sentiment,medium,0
57,0,0,0,3,12,no sentiment,medium,0
58,0,0,0,4,33,negative,long,3
59,0,0,0,1,11,negative,medium,0
60,0,35,1,1,1,no sentiment,short,0
61,5,15,1,1,6,no sentiment,short,1
62,1,0,0,1,3,no sentiment,short,0
63,7,0,0,3,4,neutral,short,2
64,32,13078,35,6,46,no sentiment,long,14
65,0,0,0,2,32,no sentiment,long,2
66,1,0,0,4,2,no sentiment,short,0
67,1,0,0,2,12,no sentiment,medium,7
68,0,5,1,1,14,no sentiment,medium,1
69,1,0,0,3,9,no sentiment,medium,104
70,505,324601,86,5,45,neutral,long,1
71,0,58,2,1,46,no sentiment,long,1
72,9,0,0,1,7,no sentiment,short,2
73,15,18219,17,1,12,no sentiment,medium,2
74,1,0,0,8,32,negative,long,6
75,0,0,0,2,37,no sentiment,long,0
76,0,0,0,6,9,no sentiment,medium,133
77,1,166,1,1,16,no sentiment,medium,0
78,21,0,0,1,4,no sentiment,short,0
79,1,0,0,2,21,no sentiment,medium,3
80,2,608,1,3,9,no sentiment,medium,23
81,3,922,13,1,29,no sentiment,long,0
82,1,0,0,1,37,no sentiment,long,0
83,1,0,0,1,9,no sentiment,medium,0
84,23,12675,35,1,2,no sentiment,short,0
85,6,328,6,1,18,no sentiment,medium,0
86,0,0,0,2,18,no sentiment,medium,0
87,0,0,0,5,10,no sentiment,medium,2
88,0,91,2,1,30,no sentiment,long,1
89,3,164,1,1,102,no sentiment,long,0
90,7,0,0,2,16,no sentiment,medium,1
91,1,0,0,1,8,no sentiment,short,2
92,0,0,0,1,13,no sentiment,medium,1
93,0,689,1,1,88,no sentiment,long,0
94,1,0,0,1,11,no sentiment,medium,1
95,10,0,0,10,32,negative,long,36
96,6,0,0,1,17,no sentiment,medium,0
97,0,0,0,43,22,negative,medium,15
98,3210,36935,10,3,5,negative,short,5
99,0,0,0,3,11,no sentiment,medium,0
100,2,0,0,2,16,no sentiment,medium,31
101,2,0,0,1,31,no sentiment,long,0
102,32,10357,8,5,10,no sentiment,medium,250
103,78,0,0,2,9,negative,medium,2
104,3,0,0,1,1,no sentiment,short,0
105,1,0,0,7,23,negative,medium,4
106,1,0,0,2,37,negative,long,1
107,31,233,2,1,13,no sentiment,medium,0
108,6,0,0,104,13,negative,medium,60
109,12,0,0,15,141,negative,long,4
110,2,0,0,1,9,no sentiment,medium,0
111,1,0,0,1,31,no sentiment,long,0
112,8,115,1,4,111,no sentiment,long,2
113,0,0,0,58,21,negative,medium,14
114,2,378,1,1,32,no sentiment,long,0
115,33,4911,32,1,19,no sentiment,medium,0
116,2,17,1,1,9,no sentiment,medium,0
117,6,0,0,4,18,no sentiment,medium,240
118,9,0,0,9,17,negative,medium,10
119,0,0,0,2,9,no sentiment,medium,0
120,47,10854,215,8,19,negative,medium,15
121,5,0,0,1,18,no sentiment,medium,1
122,1,0,0,1,9,no sentiment,medium,0
123,367,230202,35,4,48,neutral,long,43
124,2,0,0,4,75,negative,long,4
125,0,0,0,1,7,no sentiment,short,0
126,3,93,2,1,23,no sentiment,medium,1
127,0,0,0,2,12,negative,medium,2
128,2,0,0,2,17,no sentiment,medium,0
129,304,105065,5,5,18,no sentiment,medium,2
130,2,718,3,4,57,no sentiment,long,1
131,2,0,0,1,70,no sentiment,long,1
132,0,0,0,2,32,no sentiment,long,2
133,0,0,0,1,16,no sentiment,medium,1
134,2,0,0,1,20,no sentiment,medium,0
135,1,0,0,1,10,no sentiment,medium,0
136,0,0,0,4,15,no sentiment,medium,8
137,2,0,0,4,13,negative,medium,5
138,0,0,0,2,9,no sentiment,medium,60
139,1,0,0,1,5,no sentiment,short,0
140,16,679,2,1,38,no sentiment,long,0
141,17,0,0,1,11,no sentiment,medium,2
142,2,0,0,2,13,no sentiment,medium,4
143,1,0,0,7,6,no sentiment,short,5
144,23,0,0,2,10,no sentiment,medium,1
145,104,399,3,1,16,no sentiment,medium,0
146,4,0,0,1,15,no sentiment,medium,0
147,1,0,0,1,22,no sentiment,medium,0
148,67,145785,175,3,8,no sentiment,short,5
149,0,0,0,3,37,no sentiment,long,0
150,5,0,0,2,7,no sentiment,short,4
151,2,689,1,1,5,no sentiment,short,0
152,114,137351,70,1,9,no sentiment,medium,0
153,0,0,0,1,208,no sentiment,long,2
154,6,0,0,4,27,no sentiment,long,2
155,4,0,0,7,15,negative,medium,4
156,4,498,1,1,5,no sentiment,short,1
157,6,0,0,1,5,no sentiment,short,1
158,2,24,1,1,4,no sentiment,short,0
159,0,0,0,1,28,no sentiment,long,4
160,0,0,0,3,40,no sentiment,long,2
161,0,0,0,3,21,no sentiment,medium,2
162,3,0,0,1,21,no sentiment,medium,1
163,0,0,0,2,21,no sentiment,medium,2
164,20,15256,1,1,17,no sentiment,medium,2
165,0,0,0,2,14,negative,medium,0
166,0,0,0,2,12,negative,medium,0
167,0,0,0,3,23,neutral,medium,2
168,0,0,0,5,10,neutral,medium,1
169,0,0,0,3,13,no sentiment,medium,137
170,1,16,1,4,51,neutral,long,6
171,6,0,0,14,17,negative,medium,19
172,3,5315,6,5,27,no sentiment,long,17
173,0,0,0,1,4,no sentiment,short,1
174,0,0,0,6,57,no sentiment,long,3
175,0,0,0,1,27,no sentiment,long,1
176,0,0,0,1,6,no sentiment,short,2
177,3,0,0,1,29,no sentiment,long,1
178,1,0,0,1,2,no sentiment,short,1
179,32,3011,111,12,11,negative,medium,8
180,3,0,0,7,34,negative,long,42
181,4,30,1,2,37,no sentiment,long,1
182,0,0,0,1,2,no sentiment,short,0
183,0,0,0,2,9,neutral,medium,0
184,0,0,0,1,4,no sentiment,short,1
185,0,0,0,2,10,no sentiment,medium,8
186,244,57256,316,2,25,no sentiment,medium,3
187,978,453584,90,1,6,no sentiment,short,3
188,17,0,0,3,44,no sentiment,long,2
189,0,0,0,4,59,negative,long,2
190,0,11,1,1,29,no sentiment,long,0
191,8,0,0,1,16,no sentiment,medium,0
192,5,9,1,3,17,negative,medium,4
193,0,9,2,1,25,no sentiment,medium,1
194,0,0,0,41,15,positive,medium,13
195,3,0,0,6,17,negative,medium,35
196,0,0,0,3,51,no sentiment,long,2
197,24,4413,27,4,28,negative,long,10
198,0,0,0,1,3,no sentiment,short,0
199,223,81841,267,1,23,no sentiment,medium,0
200,0,422,2,3,14,negative,medium,28
201,0,62,2,1,7,no sentiment,short,1
202,1,0,0,2,5,no sentiment,short,16
203,0,178,1,1,1,no sentiment,short,2
204,1,0,0,4,65,no sentiment,long,2
205,1,0,0,11,31,neutral,long,1
206,2,40,2,1,11,no sentiment,medium,1
207,2,0,0,1,6,no sentiment,short,3
208,1,0,0,2,14,negative,medium,0
209,11,0,0,16,23,neutral,medium,8
210,4,0,0,3,41,no sentiment,long,1
211,145,9974,13,5,32,negative,long,3
212,1,0,0,3,15,negative,medium,9
213,11,0,0,4,17,no sentiment,medium,3
214,1,0,0,1,25,no sentiment,medium,0
215,2,0,0,6,19,no sentiment,medium,7
216,0,0,0,3,20,negative,medium,1
217,85,43376,45,2,26,negative,medium,10
218,0,0,0,1,28,no sentiment,long,5
219,0,0,0,2,85,no sentiment,long,1
220,1,0,0,1,14,no sentiment,medium,6
221,0,0,0,1,1,no sentiment,short,1
222,12,1558,3,1,11,no sentiment,medium,0
223,0,11,1,2,15,no sentiment,medium,5
224,41,77320,1,1,8,no sentiment,short,2
225,0,0,0,9,21,neutral,medium,10
226,126,14322,198,2,19,no sentiment,medium,0
227,1,0,0,2,17,no sentiment,medium,2
228,1,0,0,3,16,negative,medium,1
229,0,0,0,2,11,negative,medium,0
230,126,116766,16,2,16,neutral,medium,1
231,1,0,0,3,21,negative,medium,0
232,0,0,0,2,10,negative,medium,20
233,6,0,0,1,5,no sentiment,short,2
234,1,0,0,2,13,negative,medium,4
235,2,0,0,8,32,negative,long,9
236,27,0,0,2,21,negative,medium,25
237,1,0,0,2,9,no sentiment,medium,0
238,5,0,0,1,12,no sentiment,medium,1
239,0,8,1,1,18,no sentiment,medium,1
240,8,1553,45,1,1,no sentiment,short,0
241,13,1458,90,1,30,no sentiment,long,14
242,5,0,0,3,36,negative,long,1
243,7090,1223045,181,1,2,no sentiment,short,0
244,1,0,0,2,44,no sentiment,long,0
245,1,0,0,1,4,no sentiment,short,1
246,2,0,0,1,1,no sentiment,short,1
247,5,0,0,2,15,no sentiment,medium,0
248,1,0,0,1,9,no sentiment,medium,2
249,0,0,0,1,5,no sentiment,short,2
250,0,298,14,3,18,negative,medium,0
251,0,0,0,1,4,no sentiment,short,0
252,5,44,2,2,8,no sentiment,short,2
