data,sentiment
UCshjRTfjhrA9GuzQwSV8OMA,Negatief
UCiDVLi3WXbI6-8tmSau5E4Q,Negatief
UCyj2wKM2CJuJ6GNhmpQ0vFg,Neutraal
UCGrjz-N0AP3M9OUwa5DFGBg,Negatief
UCTAVSLjpVhggKI-q-fPviKg,Negatief
UCyriT0Ks3t89Lh_dyv6y69A,Negatief
UCJY-Nvj6YYroBo2OYavH6kg,Negatief
UCc8dRAdnFWz9UOF7FrG5baw,Negatief
UCEngHxSN_kcZYoavVA4i7Ow,Negatief
UCOtHqJeZ2OG0FrJRUOwaieg,Positief
UCEkx7zzpb9N6DAnz6v7Tz7A,Negatief
UCk7p83NSuNlDbT3eArf67Yw,Negatief
UCbpz3-GFqms-gt6km1yUE1w,Negatief
UCBHgF9tq5BW_Ojox7C10xVg,Neutraal
UCFPb9eToj2c4JlktoX6Ki5A,Neutraal
UC8dZUiAd-tCxud2Zs75Z6rw,Negatief
UC1tpYMgUfrQ0s5ypJ2A0OPw,Negatief
UC1ffpT8ZDGqcGtd2WuaJlng,Negatief
UCC35EnAeuy4lLGTjIQHuLTQ,Negatief
UCWBnbh5XCcS7ze8-7X-n3rg,Negatief
UCSm3T7zcaf9yjR89-uf4dUA,Negatief
UCXIItHp8IHY0vOKcECZzANw,Negatief
UCnRJyjOjnjESv8Bj8AK_W0A,Negatief
UCnx6Ue5tlm_Bko3hr63E2rw,Negatief
UCeWCuXcxVdXGV0h9K7cZQrQ,Negatief
UC_Df-AuaoB5unovNHru9XEA,Negatief
UC6JJi02nyGHG3EBbV1QTM5g,Negatief
UCdJljIiF-Eu59eV9DGhYqzQ,Neutraal
UCAhkPe9jzNSht8qwxXhmcBQ,Negatief
UCpjal1K5phFvGvu2RGwWZOA,Negatief
UCwqb_rsR_yAtRTw_r1Vd50A,Negatief
UCAMefyoMRHfrJgABYl0O0QQ,Negatief
UC3F50XRJN8_LOwKjUIuKucA,Negatief
UCG5sfyuKD9IaWOIpGcIbO0g,Negatief
UCLe5JaGApMZFNglY5EpRj6w,Neutraal
UCdTW_LuoBx95XHfnxnO2PdQ,Neutraal
UCNF_BWFsZ4PPTYbnIZJ5KfQ,Neutraal
UCKQM7sGy0zipHXgeFQkuUTg,Negatief
UC3jWUb_ZVL8f_mMTa1xIO-g,Negatief
UCtEFcTGcOEKTa81w45cR-bA,Negatief
UCHJR7Mn1lcUNby4v0GuwH_A,Neutraal
UCsLkBbLo2CbSZqx3XHYcTNA,Negatief
UCgQnkpDH0W5sBEq-i7_uy2Q,Negatief
UCTnmkygARqbpq3Vf7h9OE1A,Positief
UCz4RHgWnlUCuXyGjZhUKcfw,Negatief
UCbDztJQXb2TkVbOgvT5u3bg,Negatief
UCkX2Hx3D5yNws-B21oaQ9WA,Negatief
UCOZ-RdwOqy2QnxpUzQRYp_A,Neutraal
UCpWtoPCieIk4fYgpO1qw59w,Negatief
UCKM5YAgKeg5R0zASfwhBedg,Neutraal
UCyAwD1mxQhAVReULQyftIKA,Negatief
UCkzDId9vNXuqKHBiRO8K0sg,Negatief
UCaBiixZ5DtDWQ6-W4YoaDGA,Negatief
UCrCkj_4D5V94HNU9fjh7wPA,Negatief
UCLmkuEcLDFTDI5s3ia4V-rg,Neutraal
UCikhJe1fbVnqvfpTKQaEVFA,Negatief
UCHw8RCd0Ub68xgOvy3Hrstw,Negatief
UCZ6YHh7dGpNUsFLQ22e651w,Neutraal
UC8eE3kD0xXL5IpQ2KhKOaMw,Negatief
UC0OiuCXmhXZnYKP7iDH98xg,Negatief
UCUNLhE5iqna1btATnaR4BsA,Negatief
UCohqy3txTGrnTMMWMlTAJSg,Negatief
UCW9ZSxKovcLefJMz2JJqwYA,Negatief
UCPB1bD5Eqp7uXH2_xLZ75KA,Negatief
UC7JEAoHVFQsNbUeWtcWeThQ,Negatief
UCKhxQDlOwRveVEYacHEPqFg,Negatief
UCfiv9MX3xa0bhcsR-sxAnnw,Negatief
UCY5ID_wx_PAGBYf1bmCMs9g,Negatief
UCXtAGgV5Ygs0wB_DdnNCrhg,Negatief
UCR3gO4ou0KnrMJlX-u50sGQ,Neutraal
UCRhzRXjpaiJcagkbzNq2j1g,Negatief
UCywTnrdto804wJcVFp50jRQ,Neutraal
UCe7Y55S9Seq0kME6F5Jv4Cw,Negatief
UCGHZVKsXHzO_2fQZU8HCmXg,Negatief
UCDFx9QTmshAz6yQrXebUr-w,Neutraal
UC4Vie2JIgd7oQ6g9xf_pzEA,Negatief
UCLwcbWlojF2NdItzAewhRiQ,Negatief
UCVUAkbOozJagIlyfw3_Xurg,Negatief
UCY0EVs8YgOW8l8RpCJBikwg,Negatief
UCbFUNovjT-wEo_rSkM6wl9A,Negatief
UCUdp_lQG_3l4Y84FHfx4IBQ,Negatief
UCpYdBWWCn9qpbF4OMTJ1JUg,Negatief
UC76YN3d70t_bSmwRhUbL-FA,Negatief
UCTPEzQcnBJjbRHxgtirfDyw,Negatief
UCEDNGu4Cvv_Y7n7yFxUipuA,Negatief
UCwQgrBxHlqyaS3aUfZfjJwQ,Negatief
UCWPdcoiSDoVv11RRn0NGGGw,Negatief
UCS26dq5hvONKSTyYvENv8SQ,Negatief
UC0C_vy3-E7X1mmVxOZwkCuw,Negatief
UCarx_HhLFVLQQkwyygVrhew,Neutraal
UCK21puFojL1u3PyYyRtEbzg,Negatief
UCfIYRPglzSeFkVBEL3sCd6A,Negatief
UCx3j57GIvLghrdo72WZ_qXw,Neutraal
UC_J6r61iPkgcV8nEqxtA4qA,Negatief
UCzD5cMEj_HlMxerc_Ph-3lg,Negatief
UCo3YRhMKlDdvOk6UYeZwrxA,Negatief
UCKO6rmcEdesdgPZsszAn7Aw,Negatief
UCkM50N_mTM60PDt5rvHU6fw,Negatief
UC-vrup26Nj7hUKGjqyARmkg,Negatief
UCdxozhhmY4hl0feWzCm8XAw,Negatief
UCWNBJcc86MJRRIH-xYcoP8w,Negatief
UCsOnVjzysUphfo8Ju0L6Dgg,Neutraal
UCJmoQHhBLOMB6_Ok7cJcJGg,Neutraal
UCxf_JrLxBIH-oUPKDBfATwA,Negatief
UCIMCfN73kk4cWd5X3bYUOZg,Neutraal
UCJGGCf4q-B-UynuU9JrbBsw,Negatief
UCojM5oxBnuq9HoCpa8KjrDA,Negatief
UCO_m-4_sZ9JJVCCb12oxfZw,Negatief
UCIoBsy6kfoBonHXRTFbGM0w,Negatief
UCHxtycI4f7GXAgJyXpgPMXg,Negatief
